Caught Up in You;.38 Special;1982;Caught Up in You by .38 Special
Fantasy Girl;.38 Special;;Fantasy Girl by .38 Special
Hold On Loosely;.38 Special;1981;Hold On Loosely by .38 Special
Rockin' Into the Night;.38 Special;1980;Rockin' Into the Night by .38 Special
Art For Arts Sake;10cc;1975;Art For Arts Sake by 10cc
Kryptonite;3 Doors Down;2000;Kryptonite by 3 Doors Down
Loser;3 Doors Down;2000;Loser by 3 Doors Down
When I'm Gone;3 Doors Down;2002;When I'm Gone by 3 Doors Down
What's Up?;4 Non Blondes;1992;What's Up? by 4 Non Blondes
Take On Me;a-ha;1985;Take On Me by a-ha
Baby, Please Don't Go;AC/DC;;Baby, Please Don't Go by AC/DC
Back In Black;AC/DC;1980;Back In Black by AC/DC
Big Gun;AC/DC;1993;Big Gun by AC/DC
CAN'T STOP ROCK'N'ROLL;AC/DC;;CAN'T STOP ROCK'N'ROLL by AC/DC
Dirty Deeds Done Dirt Cheap;AC/DC;1976;Dirty Deeds Done Dirt Cheap by AC/DC
For Those About To Rock;AC/DC;1981;For Those About To Rock by AC/DC
Girls Got Rhythm;AC/DC;;Girls Got Rhythm by AC/DC
Hard As A Rock;AC/DC;1995;Hard As A Rock by AC/DC
Have a Drink On Me;AC/DC;1980;Have a Drink On Me by AC/DC
Hells Bells;AC/DC;1980;Hells Bells by AC/DC
Highway To Hell;AC/DC;1979;Highway To Hell by AC/DC
It's A Long Way To The Top;AC/DC;1975;It's A Long Way To The Top by AC/DC
Jailbreak;AC/DC;1984;Jailbreak by AC/DC
Let There Be Rock;AC/DC;1977;Let There Be Rock by AC/DC
Let's Get It Up;AC/DC;;Let's Get It Up by AC/DC
Live Wire;AC/DC;;Live Wire by AC/DC
Moneytalks;AC/DC;;Moneytalks by AC/DC
Night Prowler;AC/DC;1979;Night Prowler by AC/DC
Rock and Roll Ain't Noise Pollution;AC/DC;1980;Rock and Roll Ain't Noise Pollution by AC/DC
Shoot To Thrill;AC/DC;;Shoot To Thrill by AC/DC
Shot Down In Flames;AC/DC;1979;Shot Down In Flames by AC/DC
Sin City;AC/DC;;Sin City by AC/DC
T.N.T.;AC/DC;1975;T.N.T. by AC/DC
Thunderstruck;AC/DC;1990;Thunderstruck by AC/DC
Touch Too Much;AC/DC;1979;Touch Too Much by AC/DC
What Do You Do For Money Honey;AC/DC;;What Do You Do For Money Honey by AC/DC
Who Made Who;AC/DC;1986;Who Made Who by AC/DC
Whole Lotta Rosie;AC/DC;1977;Whole Lotta Rosie by AC/DC
You Shook Me All Night Long;AC/DC;1980;You Shook Me All Night Long by AC/DC
How Long;Ace;1974;How Long by Ace
Dog On A Leash;Adelitas Way;2014;Dog On A Leash by Adelitas Way
Angel;Aerosmith;1987;Angel by Aerosmith
Baby, Please Don't Go;Aerosmith;;Baby, Please Don't Go by Aerosmith
Back in the Saddle;Aerosmith;1976;Back in the Saddle by Aerosmith
Big Ten Inch;Aerosmith;1975;Big Ten Inch by Aerosmith
Come Together;Aerosmith;;Come Together by Aerosmith
Crazy;Aerosmith;1993;Crazy by Aerosmith
Cryin';Aerosmith;1993;Cryin' by Aerosmith
Draw The Line;Aerosmith;1977;Draw The Line by Aerosmith
Dream On;Aerosmith;1973;Dream On by Aerosmith
Dude (Looks Like a Lady);Aerosmith;1987;Dude (Looks Like a Lady) by Aerosmith
